Scheme name	Locus tag	Description
cgMLST V1 + HierCC V1	CD630_00870(rplR)	50S ribosomal protein L18
cgMLST V1 + HierCC V1	CD630_00880(rpsE)	30S ribosomal protein S5
cgMLST V1 + HierCC V1	CD630_00881(rpmD)	50S ribosomal protein L30
cgMLST V1 + HierCC V1	CD630_00890(rplO)	50S ribosomal protein L15
cgMLST V1 + HierCC V1	CD630_00900(prlA)	preprotein translocase subunit SecY
cgMLST V1 + HierCC V1	CD630_00910(adk)	adenylate kinase
cgMLST V1 + HierCC V1	CD630_00920(map1)	type I methionyl aminopeptidase
cgMLST V1 + HierCC V1	CD630_00930(-)	50S ribosomal protein L14
cgMLST V1 + HierCC V1	CD630_00940(infA)	translation initiation factor IF-1
cgMLST V1 + HierCC V1	CD630_00941(rpmJ)	50S ribosomal protein L36
cgMLST V1 + HierCC V1	CD630_00950(rpsM)	30S ribosomal protein S13
cgMLST V1 + HierCC V1	CD630_00960(rpsK)	30S ribosomal protein S11
cgMLST V1 + HierCC V1	CD630_00970(rpsD)	30S ribosomal protein S4
cgMLST V1 + HierCC V1	CD630_00980(rpoA)	DNA-directed RNA polymerase subunit alpha
cgMLST V1 + HierCC V1	CD630_00990(rplQ)	50S ribosomal protein L17
cgMLST V1 + HierCC V1	CD630_01000(cbiO1)	energy-coupling factor transporter ATPase
cgMLST V1 + HierCC V1	CD630_01010(cbiO2)	energy-coupling factor transporter ATPase
cgMLST V1 + HierCC V1	CD630_01020(cbiQ)	transporter
cgMLST V1 + HierCC V1	CD630_01030(truA1)	tRNA pseudouridine synthase A
cgMLST V1 + HierCC V1	CD630_01040(rplM)	50S ribosomal protein L13
cgMLST V1 + HierCC V1	CD630_01050(rpsI)	30S ribosomal protein S9
cgMLST V1 + HierCC V1	CD630_01060(cwlD)	N-acetylmuramoyl-L-alanine amidase CwlD
cgMLST V1 + HierCC V1	CD630_01070(aspC)	aspartate aminotransferase
cgMLST V1 + HierCC V1	CD630_01080(nrdD)	anaerobic ribonucleoside triphosphate reductase
cgMLST V1 + HierCC V1	CD630_01090(nrdG)	anaerobic ribonucleoside-triphosphate reductase activating protein
cgMLST V1 + HierCC V1	CD630_01100(dacA)	membrane protein
cgMLST V1 + HierCC V1	CD630_01110(-)	ybbR-like family protein
cgMLST V1 + HierCC V1	CD630_01111(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_01120(ptb)	phosphate butyryltransferase
cgMLST V1 + HierCC V1	CD630_01130(buk)	butyrate kinase
cgMLST V1 + HierCC V1	CD630_01140(-)	ATP-binding protein
cgMLST V1 + HierCC V1	CD630_01150(korD)	2-oxoacid:acceptor oxidoreductase subunit delta
cgMLST V1 + HierCC V1	CD630_01160(korA)	3-methyl-2-oxobutanoate dehydrogenase subunit VorB
cgMLST V1 + HierCC V1	CD630_01170(korB)	MFS transporter
cgMLST V1 + HierCC V1	CD630_01180(korC)	2-oxoglutarate ferredoxin oxidoreductase subunit gamma
cgMLST V1 + HierCC V1	CD630_01190(glmM)	phosphoglucosamine mutase
cgMLST V1 + HierCC V1	CD630_01200(glmS)	glutamine--fructose-6-phosphate aminotransferase
cgMLST V1 + HierCC V1	CD630_01210(ynjE)	thiosulfate sulfurtransferase
cgMLST V1 + HierCC V1	CD630_01220(-)	exported protein
cgMLST V1 + HierCC V1	CD630_01230(murA)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
cgMLST V1 + HierCC V1	CD630_01240(spoIIC)	stage II sporulation protein D
cgMLST V1 + HierCC V1	CD630_01250(-)	peptidase M23
cgMLST V1 + HierCC V1	CD630_01260(spoIIID)	sporulation transcriptional regulator SpoIIID
cgMLST V1 + HierCC V1	CD630_01270(mreB1)	rod shape-determining protein
cgMLST V1 + HierCC V1	CD630_01280(fabZ)	beta-hydroxyacyl-ACP dehydratase
cgMLST V1 + HierCC V1	CD630_01290(-)	spore protease YyaC
cgMLST V1 + HierCC V1	CD630_01300(metK)	S-adenosylmethionine synthase
cgMLST V1 + HierCC V1	CD630_01310(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_01320(recD)	viral (Super1) RNA helicase
cgMLST V1 + HierCC V1	CD630_01330(comFC)	phosphoribosyltransferase
cgMLST V1 + HierCC V1	CD630_01340(manR)	"transcription antiterminator, PTS operon regulator"
cgMLST V1 + HierCC V1	CD630_01350(celC)	PTS mannose transporter subunit IIA
cgMLST V1 + HierCC V1	CD630_01360(celA)	PTS sugar transporter subunit IIB
cgMLST V1 + HierCC V1	CD630_01370(celB)	PTS cellobiose transporter subunit IIC
cgMLST V1 + HierCC V1	CD630_01380(-)	proline reductase
cgMLST V1 + HierCC V1	CD630_01390(aspG)	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
cgMLST V1 + HierCC V1	CD630_01400(dapE)	dipeptidase
cgMLST V1 + HierCC V1	CD630_01410(cutC)	copper homeostasis protein CutC
cgMLST V1 + HierCC V1	CD630_01420(yhbH)	RNA-binding protein
cgMLST V1 + HierCC V1	CD630_01430(secA1)	protein translocase subunit SecA 1
cgMLST V1 + HierCC V1	CD630_01440(prfB)	peptide chain release factor 2
cgMLST V1 + HierCC V1	CD630_01450(tex)	Tex-like protein N-terminal domain protein
cgMLST V1 + HierCC V1	CD630_01460(-)	amidohydrolase
cgMLST V1 + HierCC V1	CD630_01470(-)	5TMR of 5TMR-LYT family protein
cgMLST V1 + HierCC V1	CD630_01480(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_01490(tsaE)	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
cgMLST V1 + HierCC V1	CD630_01500(tsaB)	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
cgMLST V1 + HierCC V1	CD630_01520(gcp)	tRNA N6-adenosine(37)-threonylcarbamoyltransferase complex transferase subunit TsaD
cgMLST V1 + HierCC V1	CD630_01530(hpdB)	4-hydroxyphenylacetate decarboxylase large subunit
cgMLST V1 + HierCC V1	CD630_01540(hpdC)	4-hydroxyphenylacetate decarboxylase small subunit
cgMLST V1 + HierCC V1	CD630_01550(pflA)	4-hydroxyphenylacetate decarboxylase activating enzyme
cgMLST V1 + HierCC V1	CD630_01590(-)	glyoxalase/Bleomycin resistance /Dioxygenase superfamily protein
cgMLST V1 + HierCC V1	CD630_01680(-)	cyclic nucleotide-binding domain protein
cgMLST V1 + HierCC V1	CD630_01690(-)	MATE family efflux transporter
cgMLST V1 + HierCC V1	CD630_01700(-)	"heme ABC exporter, ATP-binding protein CcmA"
cgMLST V1 + HierCC V1	CD630_01710(rex)	redox-sensing transcriptional repressor Rex
cgMLST V1 + HierCC V1	CD630_01720(fwdE)	prokaryotic dksA/traR C4-type zinc finger family protein
cgMLST V1 + HierCC V1	CD630_01721(fdxA)	ferredoxin
cgMLST V1 + HierCC V1	CD630_01730(pgsA)	capsule biosynthesis protein
cgMLST V1 + HierCC V1	CD630_01740(cooS)	carbon-monoxide dehydrogenase catalytic subunit
cgMLST V1 + HierCC V1	CD630_01750(cooF)	nitrate reductase subunit beta
cgMLST V1 + HierCC V1	CD630_01760(-)	"putative nitrate reductase, NADH oxidase subunit"
cgMLST V1 + HierCC V1	CD630_01770(cfa)	cyclopropane-fatty-acyl-phospholipid synthase
cgMLST V1 + HierCC V1	CD630_01790(gluD)	NAD-specific glutamate dehydrogenase
cgMLST V1 + HierCC V1	CD630_01830(-)	cell wall hydrolase
cgMLST V1 + HierCC V1	CD630_01840(pyrB)	aspartate carbamoyltransferase
cgMLST V1 + HierCC V1	CD630_01850(pyrK)	dihydroorotate dehydrogenase electron transfer subunit
cgMLST V1 + HierCC V1	CD630_01860(pyrD)	dihydroorotate dehydrogenase B catalytic subunit
cgMLST V1 + HierCC V1	CD630_01870(pyrE)	orotate phosphoribosyltransferase
cgMLST V1 + HierCC V1	CD630_01880(panE)	2-dehydropantoate 2-reductase
cgMLST V1 + HierCC V1	CD630_01890(-)	LysR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_01900(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_01910(-)	8-oxoguanine DNA glycosylase
cgMLST V1 + HierCC V1	CD630_01920(cls)	cardiolipin synthase
cgMLST V1 + HierCC V1	CD630_01930(groES)	molecular chaperone GroES
cgMLST V1 + HierCC V1	CD630_01940(groEL)	molecular chaperone GroEL
cgMLST V1 + HierCC V1	CD630_01950(-)	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase
cgMLST V1 + HierCC V1	CD630_01980(guaA)	GMP synthetase
cgMLST V1 + HierCC V1	CD630_02010(chrA)	chromate transporter family protein
cgMLST V1 + HierCC V1	CD630_02050(manR)	PRD domain protein
cgMLST V1 + HierCC V1	CD630_02060(fruB)	PTS fructose transporter subunit IIA
cgMLST V1 + HierCC V1	CD630_02070(-)	PTS fructose transporter subunit IIC
cgMLST V1 + HierCC V1	CD630_02080(fruA)	PTS fructose transporter subunit IIB
cgMLST V1 + HierCC V1	CD630_02090(-)	sugar-phosphate kinase
cgMLST V1 + HierCC V1	CD630_02100(-)	hydrolase
cgMLST V1 + HierCC V1	CD630_02130(-)	spore coat protein
cgMLST V1 + HierCC V1	CD630_02180(purE)	5-(carboxyamino)imidazole ribonucleotide mutase
cgMLST V1 + HierCC V1	CD630_02190(purC)	phosphoribosylaminoimidazolesuccinocarboxamide synthase
cgMLST V1 + HierCC V1	CD630_02200(purF)	amidophosphoribosyltransferase
cgMLST V1 + HierCC V1	CD630_02210(purG)	phosphoribosylformylglycinamidine cyclo-ligase
cgMLST V1 + HierCC V1	CD630_02220(purN)	phosphoribosylglycinamide formyltransferase
cgMLST V1 + HierCC V1	CD630_02230(purH)	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase
cgMLST V1 + HierCC V1	CD630_02240(purD)	phosphoribosylamine--glycine ligase
cgMLST V1 + HierCC V1	CD630_02250(purL)	phosphoribosylformylglycinamidine synthase
cgMLST V1 + HierCC V1	CD630_02260(-)	transglycosylase SLT domain protein
cgMLST V1 + HierCC V1	CD630_02270(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_02280(fliN)	flagellar motor switch protein FliN
cgMLST V1 + HierCC V1	CD630_02290(flgM)	Negative regulator of flagellin synthesis (anti-sigma-d factor)
cgMLST V1 + HierCC V1	CD630_02300(-)	FlgN family protein
cgMLST V1 + HierCC V1	CD630_02310(flgK)	flagellar basal body rod protein subunit C
cgMLST V1 + HierCC V1	CD630_02730(htpG)	molecular chaperone HtpG
cgMLST V1 + HierCC V1	CD630_02750(splB)	spore photoproduct lyase
cgMLST V1 + HierCC V1	CD630_02760(-)	AraC family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_02770(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_02780(-)	"transcriptional regulator, HxlR family"
cgMLST V1 + HierCC V1	CD630_02790(-)	pyridoxamine 5'-phosphate oxidase
cgMLST V1 + HierCC V1	CD630_02791(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_02820(ycdX)	phosphatase
cgMLST V1 + HierCC V1	CD630_02830(-)	transcriptional antiterminator
cgMLST V1 + HierCC V1	CD630_02840(manX)	PTS mannose transporter subunit IIAB
cgMLST V1 + HierCC V1	CD630_02850(manX)	PTS mannose transporter subunit IID
cgMLST V1 + HierCC V1	CD630_02860(dgaA)	PTS mannose transporter subunit IIC
cgMLST V1 + HierCC V1	CD630_02870(dgaB)	PTS sugar transporter
cgMLST V1 + HierCC V1	CD630_02880(dgaC)	PTS sorbose transporter subunit IIC
cgMLST V1 + HierCC V1	CD630_02900(-)	L-2-amino-thiazoline-4-carboxylic acid hydrolase
cgMLST V1 + HierCC V1	CD630_02910(dapE)	peptidase
cgMLST V1 + HierCC V1	CD630_02921(-)	phospholipase D/nuclease
cgMLST V1 + HierCC V1	CD630_02930(-)	ABC transporter family protein
cgMLST V1 + HierCC V1	CD630_02940(-)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_02950(-)	4Fe-4S ferredoxin
cgMLST V1 + HierCC V1	CD630_02960(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_02970(bioB)	biotin synthase BioB
cgMLST V1 + HierCC V1	CD630_02980(rbsR)	LacI family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_02990(rbsK)	ribokinase
cgMLST V1 + HierCC V1	CD630_03000(rbsB)	ribose ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_03010(rbsA)	ribose ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_03020(rbsC)	ribose ABC transporter permease
cgMLST V1 + HierCC V1	CD630_03030(argE)	peptidase
cgMLST V1 + HierCC V1	CD630_03040(-)	cytoplasmic protein
cgMLST V1 + HierCC V1	CD630_03050(abgB)	peptidase M20
cgMLST V1 + HierCC V1	CD630_03060(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_03070(-)	four-disulfide core' protein
cgMLST V1 + HierCC V1	CD630_03080(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_03090(-)	haloacid dehalogenase
cgMLST V1 + HierCC V1	CD630_03100(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_03120(arsR)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_03130(zntA)	cadmium-translocating P-type ATPase
cgMLST V1 + HierCC V1	CD630_03140(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_03220(-)	ATPase
cgMLST V1 + HierCC V1	CD630_03230(-)	nitric oxide reductase activation-like protein
cgMLST V1 + HierCC V1	CD630_03240(cbiM)	cobalamin biosynthesis protein CbiM
cgMLST V1 + HierCC V1	CD630_03260(cbiQ)	cobalt ECF transporter T component CbiQ
cgMLST V1 + HierCC V1	CD630_03270(cbiO)	cobalt ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_03280(pcrA)	ATP-dependent DNA helicase PcrA
cgMLST V1 + HierCC V1	CD630_03300(-)	phospholipase
cgMLST V1 + HierCC V1	CD630_03310(ppiB)	peptidyl-prolyl cis-trans isomerase
cgMLST V1 + HierCC V1	CD630_03330(ppaC)	manganese-dependent inorganic pyrophosphatase
cgMLST V1 + HierCC V1	CD630_03340(adhE)	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
cgMLST V1 + HierCC V1	CD630_03410(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_03420(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_03430(-)	flagellin N-methylase
cgMLST V1 + HierCC V1	CD630_03440(-)	MBL fold hydrolase
cgMLST V1 + HierCC V1	CD630_03450(-)	GTP pyrophosphokinase
cgMLST V1 + HierCC V1	CD630_03460(-)	ser/threonine protein phosphatase
cgMLST V1 + HierCC V1	CD630_03470(-)	putative exported protein
cgMLST V1 + HierCC V1	CD630_03500(-)	hydrolase
cgMLST V1 + HierCC V1	CD630_03510(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_03520(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_03530(-)	D-aminoacyl-tRNA deacylase
cgMLST V1 + HierCC V1	CD630_03920(-)	radical SAM protein
cgMLST V1 + HierCC V1	CD630_03930(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_03940(ldhA)	lactate dehydrogenase
cgMLST V1 + HierCC V1	CD630_03950(hadA)	CoA transferase
cgMLST V1 + HierCC V1	CD630_03960(hadI)	2-hydroxyglutaryl-CoA dehydratase
cgMLST V1 + HierCC V1	CD630_03970(hadB)	2-hydroxyglutaryl-CoA dehydratase
cgMLST V1 + HierCC V1	CD630_03980(hadC)	r-phenyllactate dehydratase small subunit
cgMLST V1 + HierCC V1	CD630_03990(acdB)	acyl-CoA dehydrogenase
cgMLST V1 + HierCC V1	CD630_04000(etfB1)	electron transfer flavoprotein subunit beta
cgMLST V1 + HierCC V1	CD630_04010(etfA1)	electron transfer flavoprotein subunit alpha
cgMLST V1 + HierCC V1	CD630_04020(-)	Fis family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_04030(fba)	fructose-bisphosphate aldolase
cgMLST V1 + HierCC V1	CD630_04040(-)	Domain of uncharacterised function (DUF1904)
cgMLST V1 + HierCC V1	CD630_04410(rocR)	sigma-54-dependent Fis family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_04420(ord)	"oxidoreductase, NAD-binding Rossmann fold family protein"
cgMLST V1 + HierCC V1	CD630_04430(ortA)	2-amino-4-ketopentanoate thiolase subunit alpha
cgMLST V1 + HierCC V1	CD630_04440(ortB)	PLP-dependent lyase/thiolase
cgMLST V1 + HierCC V1	CD630_04450(oraS)	ornithine aminomutase
cgMLST V1 + HierCC V1	CD630_04460(oraE)	LuxR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_04470(-)	ornithine aminomutase
cgMLST V1 + HierCC V1	CD630_04480(orr)	alanine racemase
cgMLST V1 + HierCC V1	CD630_04490(nhaC)	Na+/H+ antiporter NhaC
cgMLST V1 + HierCC V1	CD630_04510(-)	dioxygenase
cgMLST V1 + HierCC V1	CD630_04550(uvrD)	"Putative helicase, UvrD family"
cgMLST V1 + HierCC V1	CD630_04590(-)	ABC transporter ATP-binding protein
cgMLST V1 + HierCC V1	CD630_04600(-)	ABC transporter permease
cgMLST V1 + HierCC V1	CD630_04610(vicK)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_04620(-)	DNA-binding response regulator
cgMLST V1 + HierCC V1	CD630_04700(blaR)	BlaR1 family beta-lactam sensor/signal transducer
cgMLST V1 + HierCC V1	CD630_04710(blaI)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_04750(-)	uracil DNA glycosylase superfamily protein
cgMLST V1 + HierCC V1	CD630_04760(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_04800(spaG)	"lantibiotic protection ABC transporter permease subunit, MutG family protein"
cgMLST V1 + HierCC V1	CD630_04810(spaR)	DNA-binding response regulator
cgMLST V1 + HierCC V1	CD630_04820(spaK)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_04830(-)	ftsX-like permease
cgMLST V1 + HierCC V1	CD630_04840(-)	ABC transporter family protein
cgMLST V1 + HierCC V1	CD630_04850(nisK)	two-component sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_04860(nisR)	DNA-binding response regulator
cgMLST V1 + HierCC V1	CD630_04870(-)	omega-amidase NIT2
cgMLST V1 + HierCC V1	CD630_04880(sugE)	QacE family quaternary ammonium compound efflux SMR transporter
cgMLST V1 + HierCC V1	CD630_04890(purC)	phosphoribosylaminoimidazolesuccinocarboxamide synthase
cgMLST V1 + HierCC V1	CD630_04900(gutB)	galactitol-1-phosphate 5-dehydrogenase
cgMLST V1 + HierCC V1	CD630_04910(manX)	PTS mannose transporter subunit IID
cgMLST V1 + HierCC V1	CD630_04920(manX)	PTS mannose transporter subunit IID
cgMLST V1 + HierCC V1	CD630_04930(manY)	PTS mannose transporter subunit IIA
cgMLST V1 + HierCC V1	CD630_04940(manZ)	PTS N-acetylglucosamine transporter subunit IIABC
cgMLST V1 + HierCC V1	CD630_05150(dacC)	D-alanyl-D-alanine carboxypeptidase
cgMLST V1 + HierCC V1	CD630_05160(-)	transcriptional antiterminator
cgMLST V1 + HierCC V1	CD630_05170(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05180(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05190(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05200(kdpD)	sensor histidine kinase
cgMLST V1 + HierCC V1	CD630_05210(kdpE)	DNA-binding response regulator
cgMLST V1 + HierCC V1	CD630_05230(-)	transcriptional regulator
cgMLST V1 + HierCC V1	CD630_05240(pepT)	M42 glutamyl aminopeptidase
cgMLST V1 + HierCC V1	CD630_05280(-)	amidohydrolase
cgMLST V1 + HierCC V1	CD630_05290(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05300(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_05310(-)	DeoR family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_05320(-)	gyrI-like small molecule-binding domain protein
cgMLST V1 + HierCC V1	CD630_05330(cheY)	two-component system response regulator
cgMLST V1 + HierCC V1	CD630_05340(cheC)	chemotaxis protein CheY
cgMLST V1 + HierCC V1	CD630_05350(cheD)	cheD chemotactic sensory transduction family protein
cgMLST V1 + HierCC V1	CD630_05360(cheW)	cheW-like domain protein
cgMLST V1 + HierCC V1	CD630_05370(dge1)	diguanylate cyclase response regulator
cgMLST V1 + HierCC V1	CD630_05380(mcp)	methyl-accepting chemotaxis (MCP) signaling domain protein
